website|product_url|product_name|brand|original_price|sale_price|category|product_sku|total_number_of_reviews|1_star|2_star|3_star|4_star|5_star|date_of_purchase|place_of_purchase|review_title|review_text
MMLaFleur|https://mmlafleur.com/products/lancia-prussian-blue|Lancia Travel Dress - OrigamiTech :: Prussian Blue|||259|Dresses|8024652677315|27|0|0|0|3|24|2025-05-06||Loved this dress and excited|Loved this dress and excited to wear it. Flattering but modest cut. Ordered in size 16 and fit well in the shoulders and chest even on my busty frame. The everyday crepe fabric is stretchy and light but still feels substantial. Not a fan on the contrasting topstitch, but the black is still professional.
MMLaFleur|https://mmlafleur.com/products/lancia-prussian-blue|Lancia Travel Dress - OrigamiTech :: Prussian Blue|||259|Dresses|8024652677315|27|0|0|0|3|24|2025-04-28||What a great fit and|What a great fit and look! Love the color!
MMLaFleur|https://mmlafleur.com/products/lancia-prussian-blue|Lancia Travel Dress - OrigamiTech :: Prussian Blue|||259|Dresses|8024652677315|27|0|0|0|3|24|2025-04-26||Beautifully made. Simple and easy|Beautifully made. Simple and easy to wear. Very professional looking.
MMLaFleur|https://mmlafleur.com/products/artemis-olive|Artemis Travel Dress - OrigamiTech :: Olive|||369|Dresses|8022043984067|2|0|0|0|0|2|2025-05-02||The fabric is essentially athletic|The fabric is essentially athletic fabric in the best way: a much cooler & more comfortable dress for summer that would also work for other seasons. It has some stretch and fits my shoulders and arms (often a struggle).
MMLaFleur|https://mmlafleur.com/products/artemis-olive|Artemis Travel Dress - OrigamiTech :: Olive|||369|Dresses|8022043984067|2|0|0|0|0|2|2025-03-23||Gorgeous dress! I love the|Gorgeous dress! I love the overall styling and the sleeves. The origami tech fabric is always fabulous and it works especially well for this dress. It’s TTS for me - I took my usual size 6.
MMLaFleur|https://mmlafleur.com/products/gwynne-cool-charcoal|Gwynne Dress - OrigamiTech :: Cool Charcoal|||269|Dresses|7602147655875|31|0|0|2|11|18|2024-11-27||Bought this as a Christmas|Bought this as a Christmas gift for daughter. I can't review at this time.
MMLaFleur|https://mmlafleur.com/products/gwynne-cool-charcoal|Gwynne Dress - OrigamiTech :: Cool Charcoal|||269|Dresses|7602147655875|31|0|0|2|11|18|2024-09-22||Is it a dress? A coat? A jacket? Yes|I got the maroon in size 2. I usually wear 2 or 4 in dresses. Fabric has a bit of give and ample allowance of the backside when belted. I like the formality and timeless structure and always in market for dresses with sleeves. A keeper. Might even pick up in another color.
MMLaFleur|https://mmlafleur.com/products/gwynne-cool-charcoal|Gwynne Dress - OrigamiTech :: Cool Charcoal|||269|Dresses|7602147655875|31|0|0|2|11|18|2024-09-16||A lovely dress--so well made--and|"A lovely dress--so well made--and fit perfectly. Great length for me (5'5"")"
MMLaFleur|https://mmlafleur.com/products/gwynne-cool-charcoal|Gwynne Dress - OrigamiTech :: Cool Charcoal|||269|Dresses|7602147655875|31|0|0|2|11|18|2024-08-19||Perfect Travel Dress/Jacket Combo|"I love a wrinkle-resistant, multi-tasking garment for travel and this is perfect! I was on the fence between the new, longer version and this one but went with Olive since I wanted something that can go with black or navy for travel. As with everything MM LaFleur, the quality is beautiful. The fabric is the perfect thickness, not so thick that it makes you look bulky with it buttoned as a dress, but thick enough to work as a jacket. Very comfortable and not too short for me to wear without tights. This will work for a business event and also for daytime over a t-shirt and jeans. Tailored without being uncomfortable to raise my arms. I am 5'3"" usually take a 6 or 8 in MM LaFleur, purchased a 6."
MMLaFleur|https://mmlafleur.com/products/gwynne-cool-charcoal|Gwynne Dress - OrigamiTech :: Cool Charcoal|||269|Dresses|7602147655875|31|0|0|2|11|18|2024-07-28||Very wrinkled|Love the idea of a 2 in 1 piece and it being easy for travel and packing. The bummer- the arm length is a bit short for me and the next size up was huge. Unfortunately both sizes arrived super wrinkled. Seems contradictory to the design.
MMLaFleur|https://mmlafleur.com/products/emily-dress-recycled-wondertex-dark-navy|Emily Dress - Recycled WonderTex :: Dark Navy|||240|Dresses|7836090958019|91|4|8|14|14|51|2025-05-11||Great dress. Surprisingly flattering.|Great dress. Surprisingly flattering.
MMLaFleur|https://mmlafleur.com/products/emily-dress-recycled-wondertex-dark-navy|Emily Dress - Recycled WonderTex :: Dark Navy|||240|Dresses|7836090958019|91|4|8|14|14|51|2024-07-11||very comfortable and flattering, like|very comfortable and flattering, like the longer sleeves, great color, nice hand to the fabric, true to size
MMLaFleur|https://mmlafleur.com/products/emily-dress-recycled-wondertex-dark-navy|Emily Dress - Recycled WonderTex :: Dark Navy|||240|Dresses|7836090958019|91|4|8|14|14|51|2024-07-08|||Lovely dress. Great fit and well made.
MMLaFleur|https://mmlafleur.com/products/emily-dress-recycled-wondertex-dark-navy|Emily Dress - Recycled WonderTex :: Dark Navy|||240|Dresses|7836090958019|91|4|8|14|14|51|2024-05-09||My favorite dress!|This dress is absolutely comfortable and the style is great! It can easily become quite elegant by just adding a silk scarf! And you can always wear it with flats or heels. I also have it in navy and it’s a bummer that you no longer have it in Navy because I would buy it again!
MMLaFleur|https://mmlafleur.com/products/emily-dress-recycled-wondertex-dark-navy|Emily Dress - Recycled WonderTex :: Dark Navy|||240|Dresses|7836090958019|91|4|8|14|14|51|2024-04-14||Simple dress goes with everything!|I am obsessed with the simple lines of this dress. It can be worn in professional settings and comfortably to a more casual after work dinner. Just perfect!
MMLaFleur|https://mmlafleur.com/products/deana-ombre-floral|Deana Wrap Dress - Printed Viscose :: Ombre Floral|||499|Dresses|8024632950979|1|0|0|0|0|1|2025-03-04||I could not stop receiving|I could not stop receiving compliments on this dress. It is a real show stopper. Drapes beautifully with thoughtful drawstring waist.
MMLaFleur|https://mmlafleur.com/products/hope-blueprint-sketch|Hope Wrap Dress - Printed Jersey :: Blueprint Sketch|||299|Dresses|8022044573891|2|0|0|0|0|2|2025-05-13||This is a very nice|This is a very nice blue print - it’s subtle but still interesting and pretty. Love the cut and it’s a great fabric with a nice drape. Will be a staple in spring summer for sure!
MMLaFleur|https://mmlafleur.com/products/hope-blueprint-sketch|Hope Wrap Dress - Printed Jersey :: Blueprint Sketch|||299|Dresses|8022044573891|2|0|0|0|0|2|2025-04-23||I returned this, as it|I returned this, as it was too casual for the event I was attending. However, I loved the fabric and it fit well.
MMLaFleur|https://mmlafleur.com/products/meredith-black|Meredith Executive Dress - Washable Wool Twill :: Black|||379|Dresses|8022045720771|2|0|0|0|0|2|2025-04-19||I felt like a million|I felt like a million bucks as soon as I put this on! Gorgeous architectural detail with the sleeves and perfect fit in my usual MM dress size.
MMLaFleur|https://mmlafleur.com/products/meredith-black|Meredith Executive Dress - Washable Wool Twill :: Black|||379|Dresses|8022045720771|2|0|0|0|0|2|2025-03-28||This is a gorgeous dress.|This is a gorgeous dress. It reads much more expensive than it is due to the tailored fit and high quality but still comfortable and slightly stretchy fabric. I think the real genius of this dress is the silhouette. The boat neck and slightly exaggerated sleeves create a great contrast with a slimmed waist, and the tapered skirt is universally flattering. I’ve been looking for a one-and-done type of dress for work meetings and conferences and this is definitely a great option. The only reason I’m considering returning this is I have sooo many black dresses. Please make this in another color! A hue like the new bluebell color would be perfect, or maybe a wine color. If you’re looking for a black dress, definitely try this one.
MMLaFleur|https://mmlafleur.com/products/lynda-antique-blue|Lynda Criss-Cross Dress - Eco Soft Wave :: Soft Navy|||379|Dresses|8022044278979|2|0|0|0|0|2|2025-03-31||I LOVE THIS DRESS!! I|I LOVE THIS DRESS!! I wish they would make it in more colors! The fit is perfect for me (5’9”, 157 lbs, straight shape/ apple middle) and the medium is comfortable and feels tailored but slightly loose and incredibly flattering. Like the other review, I also love that its slightly shorter and a very flattering length. I cannot wait to wear it out this spring!
MMLaFleur|https://mmlafleur.com/products/lynda-antique-blue|Lynda Criss-Cross Dress - Eco Soft Wave :: Soft Navy|||379|Dresses|8022044278979|2|0|0|0|0|2|2025-02-18||I predict the Lynda is|"I predict the Lynda is going to get a lot of wear from me this summer. While I love the Maaza and it has historically been my favorite, the Lynda has what I have always wished the Maaza had, a little more waist definition. I am 5'-9"" and it is short on me, but I love it. I am between a medium and large with an hourglass shape. I first ordered the large but exchanged for the medium. Great dress!"
MMLaFleur|https://mmlafleur.com/products/luz-black|Luz Dress - Everyday Crepe :: Black|||299|Dresses|7686784450755|7|0|0|0|1|6|2025-04-15||Classic LBD and super easy|Classic LBD and super easy to wear. Another MM marvel.
MMLaFleur|https://mmlafleur.com/products/luz-black|Luz Dress - Everyday Crepe :: Black|||299|Dresses|7686784450755|7|0|0|0|1|6|2025-03-17||Excellent service. Easy return/exchange. Love|Excellent service. Easy return/exchange. Love the clothing too!
MMLaFleur|https://mmlafleur.com/products/luz-black|Luz Dress - Everyday Crepe :: Black|||299|Dresses|7686784450755|7|0|0|0|1|6|2024-09-23||Gorgeous dress, and the fabric|Gorgeous dress, and the fabric drapes beautifully. Hoping MM comes out with a lined version and in colors other than black.
MMLaFleur|https://mmlafleur.com/products/luz-black|Luz Dress - Everyday Crepe :: Black|||299|Dresses|7686784450755|7|0|0|0|1|6|2024-08-22||Favorite new dress!|This dress is incredible, I feel so classy wearing it and know I will get a ton of use out of it. It's a classic cut and hits perfectly right below the knee, it's simple with some interest and the fabric skims you beautifully. I fell in love the second I put it on!
MMLaFleur|https://mmlafleur.com/products/luz-black|Luz Dress - Everyday Crepe :: Black|||299|Dresses|7686784450755|7|0|0|0|1|6|2024-06-01||Perfect LBD!|I love everything about this dress! The fabric fit and length are perfect. I’m usually a 6 or 8 in MM dresses, and got this one in an 8. I hope to see more in this fabric.
MMLaFleur|https://mmlafleur.com/products/etsuko-black|Etsuko Dress - Recycled WonderTex :: Black|||259|Dresses|6674343395523|82|7|8|12|13|42|2025-06-03||Fabric and cut are lovely.|Fabric and cut are lovely.
MMLaFleur|https://mmlafleur.com/products/etsuko-black|Etsuko Dress - Recycled WonderTex :: Black|||259|Dresses|6674343395523|82|7|8|12|13|42|2024-11-04||Great dress that fits well.|Great dress that fits well. Very versatile and well made.
MMLaFleur|https://mmlafleur.com/products/etsuko-black|Etsuko Dress - Recycled WonderTex :: Black|||259|Dresses|6674343395523|82|7|8|12|13|42|2024-10-27||Love it! The perfect compliment|Love it! The perfect compliment to the black dress.
MMLaFleur|https://mmlafleur.com/products/etsuko-black|Etsuko Dress - Recycled WonderTex :: Black|||259|Dresses|6674343395523|82|7|8|12|13|42|2024-07-11||Flattering fit|I bought this just to have in my closet for any occasion that requires a demure, attractive style. I’m 5’1 and found the length perfect. As I’m in my 60’s I like that it covers my arms but can be worn in all climates. I’m not very shapely and also conscious of my tummy area though I’m slim and found the fit to be super flattering. A good basic for the closet. Adding the wide belt sold here took the look up a notch.
MMLaFleur|https://mmlafleur.com/products/etsuko-black|Etsuko Dress - Recycled WonderTex :: Black|||259|Dresses|6674343395523|82|7|8|12|13|42|2024-04-07||Want in every color!|Beautiful fit, especially for a woman with curves, perfect for so many occasions, LOVE.
MMLaFleur|https://mmlafleur.com/products/toula-syrah|Toula Pointelle Dress - Cotton Silk Knit :: Syrah|||189|Dresses|8023702864067|10|0|0|0|1|9|2025-03-17||Beautiful dress, I am 5’6”|Beautiful dress, I am 5’6” 145 and probably could have sized down to XS due to the larger armholes.
MMLaFleur|https://mmlafleur.com/products/toula-syrah|Toula Pointelle Dress - Cotton Silk Knit :: Syrah|||189|Dresses|8023702864067|10|0|0|0|1|9|2025-03-08||The Toula dress is understated|The Toula dress is understated and classy in a luxurious cotton silk knit. The v-neck is stylish along with the buttons down the front. Fits true to size. LOVE the Syrah color - MM, please make more pieces in this color.
MMLaFleur|https://mmlafleur.com/products/toula-syrah|Toula Pointelle Dress - Cotton Silk Knit :: Syrah|||189|Dresses|8023702864067|10|0|0|0|1|9|2024-10-10||Lovely piece, easy to wear|"I have the Tool Vest Dress in Black. I would prefer to wear it as a dress - vs a vest- It is quite flattering - you do not have to have a perfect body for it too look good. Its not too snug - just right. 
It can be worn most of the year - but in Winter maybe wear it as a vest layer. ( I have not yet tried.).
it's also a reasonably priced piece."
MMLaFleur|https://mmlafleur.com/products/toula-syrah|Toula Pointelle Dress - Cotton Silk Knit :: Syrah|||189|Dresses|8023702864067|10|0|0|0|1|9|2024-10-05||Very comfortable, sleek and flattering.|Very comfortable, sleek and flattering. Love the pockets.
MMLaFleur|https://mmlafleur.com/products/toula-syrah|Toula Pointelle Dress - Cotton Silk Knit :: Syrah|||189|Dresses|8023702864067|10|0|0|0|1|9|2024-10-02||Great dress-- flattering, comfortable, so|Great dress-- flattering, comfortable, so nice! I just hope it won't snag too easily in a work environment
MMLaFleur|https://mmlafleur.com/products/malala-dark-navy|Malala Dress - Recycled WonderTex :: Dark Navy|||239|Dresses|7836100493507|76|4|3|10|16|43|2024-12-22||Love it|Love it
MMLaFleur|https://mmlafleur.com/products/malala-dark-navy|Malala Dress - Recycled WonderTex :: Dark Navy|||239|Dresses|7836100493507|76|4|3|10|16|43|2024-08-28||MMLafleur Never Disappoints!|"I needed a new work dress and settled on the Malala. The fabric is stunningly comfortable! I'm petite and it falls at just the right length at my knees. The A-line is forgiving and complimentary. And when it couldn't have been any more perfect, I discovered the pockets! Thank you for such a wonderful product! 
Monica"
MMLaFleur|https://mmlafleur.com/products/malala-dark-navy|Malala Dress - Recycled WonderTex :: Dark Navy|||239|Dresses|7836100493507|76|4|3|10|16|43|2024-08-06||Stylish and comfortable|This print is great with the airy cotton feel for those hot summer days. So fun and comfortable!
MMLaFleur|https://mmlafleur.com/products/malala-dark-navy|Malala Dress - Recycled WonderTex :: Dark Navy|||239|Dresses|7836100493507|76|4|3|10|16|43|2024-07-14||Love The Savannah Print|This is my 4th Malala Dress. I bought the Savannah Print this time. I felt unsure about the colors when browsing online. But as soon as I tried it on in store, it just looks so elegant and such a delight on me. Great fit, (5'3, 125lbs, size 0), I can wear it to a wedding or to work. I recommend wearing with a tiny belt. This color also works wonder with Jolie Jardigan (Ivory).
MMLaFleur|https://mmlafleur.com/products/malala-dark-navy|Malala Dress - Recycled WonderTex :: Dark Navy|||239|Dresses|7836100493507|76|4|3|10|16|43|2024-07-13||Throw and go!|I love a dress that I can just throw over my head and go. This it it. Would gift it 5 stars except for the seams on the arms that have to be tucked under.
MMLaFleur|https://mmlafleur.com/products/kinsley-dusty-pine|Kinsley Dress - Everyday Crepe :: Dusty Pine|||199|Dresses|7957573238979|8|0|0|0|0|8|2025-04-13||A must have for spring.|A must have for spring. Simple but sleek and elegant ~ I bought it in black and dusty pine. Love both!
MMLaFleur|https://mmlafleur.com/products/kinsley-dusty-pine|Kinsley Dress - Everyday Crepe :: Dusty Pine|||199|Dresses|7957573238979|8|0|0|0|0|8|2025-01-23||Sleeper Hit!|The Kingsley dress was such a surprise. It’s a shift style and it’s so comfortable to wear. Its short length adds a bit of spice - while the lines are conservative. The top stitching makes the dress more than just basic black. The neck is not tight at all and comfortable to wear. It is a great addition to my wardrobe!
MMLaFleur|https://mmlafleur.com/products/kinsley-dusty-pine|Kinsley Dress - Everyday Crepe :: Dusty Pine|||199|Dresses|7957573238979|8|0|0|0|0|8|2025-01-20||Absolutely love this dress! It's|Absolutely love this dress! It's super flattering on my figure and can easily be dressed up or down. Was looking for a signature piece that could add to my wardrobe and this is it. High quality material and well designed to fit all body types.
MMLaFleur|https://mmlafleur.com/products/kinsley-dusty-pine|Kinsley Dress - Everyday Crepe :: Dusty Pine|||199|Dresses|7957573238979|8|0|0|0|0|8|2025-01-05||I love this dress. Timeless.|I love this dress. Timeless. Chic. Comfortable. Easy to wear. I only get compliments when I wear it.
MMLaFleur|https://mmlafleur.com/products/kinsley-dusty-pine|Kinsley Dress - Everyday Crepe :: Dusty Pine|||199|Dresses|7957573238979|8|0|0|0|0|8|2024-12-08||Lovely crepe fabric and the|Lovely crepe fabric and the stitching is adorable.
MMLaFleur|https://mmlafleur.com/products/maisie-dusty-pine|Maisie Dress - Everyday Crepe :: Dusty Pine|||239|Dresses|7948742328515|17|2|2|1|1|11|2025-03-31||Beautiful dress - drapes well|Beautiful dress - drapes well and hides the aspects of my figure I like the least. My only small sadness is that it doesn’t have pockets.
MMLaFleur|https://mmlafleur.com/products/maisie-dusty-pine|Maisie Dress - Everyday Crepe :: Dusty Pine|||239|Dresses|7948742328515|17|2|2|1|1|11|2024-06-04||beautiful classic dress.|beautiful classic dress.
MMLaFleur|https://mmlafleur.com/products/maisie-dusty-pine|Maisie Dress - Everyday Crepe :: Dusty Pine|||239|Dresses|7948742328515|17|2|2|1|1|11|2024-03-29||Fabulous Fit and Fabric|I love the tailored fit of this dress. It emphasizes curves in the all the right places.
MMLaFleur|https://mmlafleur.com/products/maisie-dusty-pine|Maisie Dress - Everyday Crepe :: Dusty Pine|||239|Dresses|7948742328515|17|2|2|1|1|11|2023-12-01||Great Dress - very flattering.|Great Dress - very flattering. I'm between a 10 and 12 so I had to have it taken in a bit.
MMLaFleur|https://mmlafleur.com/products/maisie-dusty-pine|Maisie Dress - Everyday Crepe :: Dusty Pine|||239|Dresses|7948742328515|17|2|2|1|1|11|2023-09-20||Beautiful dress. The fabric has|Beautiful dress. The fabric has just the right amount of give. I ended up returning as it felt a bit too expensive for the dress.
MMLaFleur|https://mmlafleur.com/products/wallen-ocean|Wallen Dress - Eco Heavy Soft Wave :: Ocean|||139|Dresses|7760767746243|1|0|0|0|0|1|2025-03-23|||Fits true to MMLF size. Very flattering, even at 4 months pregnant! Pretty color too
MMLaFleur|https://mmlafleur.com/products/pepper-top-stitch-black|Pepper Dress - Washable Silk Top Stitch :: Black|||269|Dresses|7961636667587|3|1|0|0|0|2|2024-07-08||Wore it in a heatwave to work!|Love the comfort of this dress. The narrow tie allows for some shaping in addition to the side buttons. The fabric is cool and comfortable in a lovely blue color.
MMLaFleur|https://mmlafleur.com/products/pepper-top-stitch-black|Pepper Dress - Washable Silk Top Stitch :: Black|||269|Dresses|7961636667587|3|1|0|0|0|2|2024-02-01||Beautiful material but didn’t work for me|I wanted to love this dress, but there’s really no structure to it. I think you need to be quite busty to pull this off.
MMLaFleur|https://mmlafleur.com/products/pepper-top-stitch-black|Pepper Dress - Washable Silk Top Stitch :: Black|||269|Dresses|7961636667587|3|1|0|0|0|2|2023-04-29||Beautiful details, beautiful dress|Beautiful details, beautiful dress
MMLaFleur|https://mmlafleur.com/products/issa-black-light-saddle|Issa Dress - Luxe Wool :: Black/Light Saddle|||409|Dresses|8006676021443|1|0|0|0|0|1|2025-01-05||Elegant and meticulously crafted, this|Elegant and meticulously crafted, this is a gorgeous power piece. Looked fabulous with a tailored jacket but also dressed down with an Axam.
MMLaFleur|https://mmlafleur.com/products/edie-top-stitch-black|Edie Dress - Washable Silk Top Stitch :: Black|||299|Dresses|8001077280963|1|0|0|0|0|1|2025-01-05||Beautiful, flowy, and so easy|Beautiful, flowy, and so easy to wear. Love it with the Frankie for some extra drama.
MMLaFleur|https://mmlafleur.com/products/emmett-black|Emmett Dress - Italian Jersey :: Black|||379|Dresses|8004490199235|4|0|0|0|0|4|2025-04-18||Lovely dress of smooth and|Lovely dress of smooth and drapey fabric! I look forward to wearing this classic dress for many years.
MMLaFleur|https://mmlafleur.com/products/emmett-black|Emmett Dress - Italian Jersey :: Black|||379|Dresses|8004490199235|4|0|0|0|0|4|2025-02-26||Elegant and luxurious fabric. Truly|Elegant and luxurious fabric. Truly a beautiful dress. I'm quite tall (6ft) and it fit very well.
MMLaFleur|https://mmlafleur.com/products/emmett-black|Emmett Dress - Italian Jersey :: Black|||379|Dresses|8004490199235|4|0|0|0|0|4|2025-02-11||Wonderful in everyway. Excellent customer|Wonderful in everyway. Excellent customer service, beautiful and well made clothes. I am a lifelong customer.
MMLaFleur|https://mmlafleur.com/products/emmett-black|Emmett Dress - Italian Jersey :: Black|||379|Dresses|8004490199235|4|0|0|0|0|4|2025-01-10||This is a beautifully constructed|This is a beautifully constructed dress. The fabric is substantial with an elegant drape. My order and delivery experience was very good. Unfortunately, it did not suit my 5’1” frame, but if you are a bit taller and are looking for a smart, versatile dress that would pack well, this is for you.
MMLaFleur|https://mmlafleur.com/products/joslyn-kerala-print|Joslyn Dress - Eco Sateen :: Kerala Print|||109|Dresses|7721992323267|15|1|1|1|4|8|2024-11-04||I love this dress so|"I love this dress so much. Unfortunately the XS was sold out and while I've been on the waitlist for a while, I eventually just ordered a Small and paid to have it tailored. It's such a stunning piece. 

My only thing is that I wish it were lined!"
